DL0WM,JO40HM
PA0JCS,JO21DN
DG0OJG,JO50MX
DO1KFB,JO30CS
SM60EW,JO67DA
G4MRS/P,JO01MU
DL5DBM,JO32WO
DK3BM,JO42LH
DD9DV,JO31TO
DO1DQ,JO31TL
OZ5AEK,JO55XO
DG1YAR,JO41CR
OO6LY,JO21LH
DL1PR,JO30JS
DL5ZAB,JO40HC
DO1MGN,JO50DO
SM7UPF,JO65TO
DO1NNN,JO50VF
DK5BD,JO42IX
DL3OCA,JO42VH
HB9MPX,JN47RJ
DG4KAS,JO30DU
DF1UF,JN49HK
DC6GF/P,JN47NX
DG7ES,JN68GI
DF0NF,JO44UH
DG8EKI,JO31MI
OZ9CLN,JO56CE
SK7MW,JO65MJ
DL9ECA,JO31CQ
DF9IC,JN48IW
PD9FJ,JO23KE
DL4LBO,JO43XT
DF0WD,JO42FD
DH4PSG,JO31NN
LA0BY,JO59IX
DJ5FK,JO42SH
DO1ASM,JO50LQ
DL9KCM,JO30IS
DG6MBS,JO41AH
OZ2SYV,JO54RS
DL0HMS,JO42MC
DL2PZ,JN49DW
DG5NEP/P,JO50VF
SM6VKC,JO68CG
DF8AA/P,JO71AA
PA1WM,JO21WW
DO3BTL,JO43HB
PA3GGN,JO21LU
DF1VW,JN39HJ
DJ5KX,JO30PQ
ON1LPA,JO20XO
DJ5QW,JO32SF
G4AJC,IO91VJ
OZ7P,JO45SQ
G4MRS,JO02PB
PD0ZX,JO22QF
DB5BR,JO42FS
DO1JRA,JO42GF
DL1DUF,JO62EJ
DO2NHD,JO40MB
DG6DDE,JO31UM
PA3FBP,JO33GB
DC1GUN,JN68GG
DO2BO,JO33RM
OZ6AQ,JO44UX
OZ1QQ,JO47XG
DG1YBT,JO32QD
DL9YEY,JO41GV
DG1YIV,JO42HF
DB2WD,JN39VV
DF0UKW,JN49HN
OZ1BEF/P,JO46SB
PE1ISU,JO21WD
DO1KOH,JO30HR
DK9SS,JN48OM
PE1OPK,JO23UE
DG3GAQ,JN48GE
DO2FX,JO40LH
SK7BT,JO65MO
OZ1FHU,JO55SR
SK6QW,JO68WR
DL4FBN,JO30WC
DG3FCT,JO41RB
OE2SCM,JN67OV
PA0ZM,JO32GK
DL0MQ,JO41EV
DB3WR,JO31DG
ON2BFV,JO11XA
DJ5DM,JO31FF
G6FPQ,IO91XI
DJ0VZ,JO30GL
OO2WIM,JO20OR
DG7RZ/P,JN59WK
DL5QN,JO42HC
DC9XX,JO43QR
SM7SLU,JO65ML
F1PYW,JN38UP
DG2NJ,JN68OL
DJ5KM,JO42GA
DL3TS,JO30PX
DG4YIE/P,JO41PU
DL0RSH,JO43SV
PE1RYU,JO21GU
DJ3QB,JO32MF
DG4KBY/P,JO42CW
PA3GSX,JO32DM
DG1YRT,JO41KW
DG9BEY,JO42AH
PA3EXO,JO32GW
PE1OPH,JO22XF
DO9FB,JN49BP
F0EUE,JN29VM
G4RRA/P,IO70XR
DL0EDD,JO31IF
SM7MRL,JO66KC
DK5JM,JO43QS
DJ3NU,JO31SL
DH6YMC,JO32MF
DL1DAX,JO31RM
DC4KM,JO30XO
F1TUE,JN38DR
DO4ME,JO43KC
ON7CC,JO10XM
DL1PBC,JO30VJ
DL3IAE,JN49DE
DL1SDN,JN48PP
DL4ANT,JN49LF
DH1NHI,JO50VF
DO1BR,JO42AE
G4ODA,IO92WS
DB2DJ,JO31RM
DL8LAH,JO44QQ
DH9NBB,JN49WS
F1LPV,JO10NP
DL3SF,JO32MF
SM7VXT,JO65NU
DL4LCA/P,JO44XF
DL3FDL,JO40KR
SM7XEN,JO65RL
DL6ABO,JO52GH
EI7IW,IO63SS
DC1QU,JO31TW
DG0OCW,JO50CT
SM7XWM,JO86AJ
ON2MRT,JO20MX
DA0GSN,JO31HB
DL8FBC,JO41UF
F1DBN/P,JO00WT
DJ6CB,JO42JW
DL1SUZ,JO53UN
DJ5NU,JO31QH
DL0SOP,JO54WC
DO1MGN/P,JO50AN
OK1BYR,JN79IP
PD0RAA,JO22WK
DJ9DL,JO31NC
DK5WO,JO30AS
OZ8FYN,JO55EJ
DO1FDR,JO41PD
ON2BIV,JO10RX
ON4AEO,JO10OW
DL4MB,JN49FA
GW4HBZ/P,IO83GC
OZ1BEF,JO46OE
PE0NYJ,JO21VT
DO3LBP,JO43MW
DB3BW,JO42AC
DF6YL,JO31WS
DP0RFU,JO32LS
DF4BV,JO43RH
DJ6GV,JO52HG
DG7KAQ,JO30FS
DH1YPH,JO31VL
SM7JUQ,JO65PO
DG7ACF,JO42UI
DG6NBL,JN59LL
OK1MCS,JN69QR
DL1REM,JO32MF
DN1RDT,JN59WK
OZ3FYN/P,JO55BJ
DB0GSN,JO31JC
DC1GUN/P,JN68GI
DJ1DH/P,JO53BG
DO1RSG/P,JN68KX
PD0FFU,JO20UU
DO8DW,JO31SO
DL8II,JN49GP
PA3DRL,JO21PS
DG8LG,JO44VP
PD0EBF,JO21LQ
OZ9BO,JO46HE
DO3NML,JN59SV
DJ3BP,JO42CX
F6IRS,JN38VN
F5SMZ,JN39EJ
GM1TDU,IO87WE
DL5BAC,JO43LG
DO7OCH,JO51AT
DL1HRY,JO61AD
DK7VA,JO32MK
SM7JPI,JO75DW
DL0GC,JO31CQ
M1IFT,IO93NL
DF5AY,JN49DX
DG1IHH,JN49GJ
DO5BRH,JO43CE
DK6AJ,JO52GH
DL0NF,JN59PL
DG1BHM,JO43PC
DK3RV,JO31DG
DD8EI,JO31NC
PD2PL,JO22HD
DL0GL,JO31LN
DC1PJA,JN49DV
PD2GCM,JO21ET
SI7GM,JO65MO
DG6MOG,JO52XN
OQ4CJU,JO20PS
DG1DPN,JO31RL
DK0BA,JO43NF
DL2HQ,JN48FX
PA4PS,JO33GH
DK0EE,JN58TG
DD9PL,JN49CN
PB0AOK,JO32IH
DC2OOO,JN39NI
DL0NS,JO31IE
ON4BAK,JO31PA
G4DCV,IO91OF
DG4FFF,JO40FA
G3BNE,JO01BJ
DO2GN,JO31PM
DD7PA/P,JN49LM
OZ0A/P,JO55UL
DL8BEV,JO43JH
DJ8UV,JO31OF
PE1PMV,JO32JG
DL8AX,JO31ID
PE1RER,JO22SA
PD0RKC,JO33AD
DC4ASK,JO31MI
DG1YCF,JO42KH
SK7PL,JO76DJ
M1MHZ,IO92WV
DF9PX/P,JO30JF
DG0OZ,JO50LU
DB1BMN/P,JO43HA
DH2UD/P,JO44XS
OZ5AGJ,JO56DF
OZ3AEV,JO55WR
PA1JAN,JO32KV
PE7MO,JO32KR
LA7M,JO48KK
PA1TX,JO32JG
OZ7DAL,JO56IE
PE1PED,JO22QE
DL0WH,JN49HN
DL9KI,JO42GE
M0AIJ,IO92PA
DG0CAL/P,JO31BC
DG1YFF,JO42IG
OZ4DR,JO55WL
G8RWG,JO01BN
OZ3RIN,JO55VK
SM7VXS,JO65UV
DL9EBI,JO31IE
PD5FDV,JO21HV
DL5XB,JO43UL
DJ9IQ,JO30OI
PE1NNX,JO22JN
DB2YC,JO32OF
PA5WT,JO22HG
DO2PK,JO41NW
PE1BVW,JO21DO
DL0TS,JO40FC
DB9KR,JO41DQ
DO1ZB,JO64II
DO4YPM,JO32QI
G0VJG,JO01BL
DD2YCS,JO43FE
DO7MH,JO31MT
G3JHM,IO91LC
DL8FAJ,JO51AD
DG4FR,JO31OJ
ON1DNF,JO20NU
DO4FMK,JO40MF
PI4THT,JO32KF
DK4LI,JO44WQ
DD3FU,JO40IE
DF1LON/P,JO31LH
DL2ARD/P,JO60AR
DH9YBC,JO42HE
G3OHC,IO93KS
DK0HF,JO42IF
DF6QB,JO31WW
DO3HN,JO31LK
M3RCV,JO01AL
DL0SAT,JO41XO
DD7PC,JN49AX
DL2LSM,JO61HH
PA3HHT,JO22QC
PD2OPA,JO21BT
DL0VR,JO31MI
EI3GE,IO63XD
DF9CY,JO54AL
DL1AH,JO42TX
DL1PW,JN49DV
DC9CZ,JO42GA
PA3FJY/P,JO32FI
DG5BGB,JO43HB
ON7LAO,JO20CK
DG0SY,JO54VC
DK5KC,JO30DS
DG6YJ,JO32RB
OO4BAX,JO21IH
DO1LNK,JO53EK
DJ3LE,JO44SK
DO1YCI,JO31NO
DJ8TA,JO41BU
DL8BAV,JO43MF
DO1RSG,JN68ET
DO1PIA,JO31PM
DL1AUW/P,JO51CH
DL0VV,JO64AD
DL3JAN/P,JO60KS
ON50ZTM,JO10UV
PA3GHZ,JO21OI
DL2SDU,JN48XT
DG4YFT,JO31OR
G0UIQ,JO02PW
DF9PX,JN49HU
DG8FAY,JO40GD
DL9LBH,JO30MP
DG5YHK,JO31SR
DC2GY/P,JN48DS
PE1PZS,JO21DV
ON4PS,JO20KQ
PE1PWM,JO22FE
DL2VB/P,JO31KP
DG8BX/P,JO43NA
DK4FG,JO40EM
DO8BAF/P,JN59WK
OK1MSM/P,JN69PR
DC2GY,JN48BQ
DK2LR,JN57KO
DH3UN,JO31TL
DF0SB,JN48GE
ON4CBR,JO10OU
DB3VE,JN39KK
DO2YTM,JO42GA
DJ9CN,JO43DA
M3HKK/P,JO01BB
DK8ZB,JN49KW
DC2AM,JO43WL
DF7KF,JO30GU
DC7KG,JO30LW
SK7CY,JO65RJ
DH6OBN/P,JO42UJ
SK7HR,JO77HM
ON4BAR,JO10MV
DH8OH,JO51AT
DL5OAK,JO52AK
DG1DX,JO31SL
DL0HEU,JN47NX
DL1FX,JN49HS
DN1BE,JO42AH
G4ZTR,JO01KW
DG3YY,JO31QM
DK4WH/P,JN49BH
OK1UEM,JO60TH
PE1LWJ,JO22VJ
OZ0XX,JO54RS
DO1ON,JO51HR
DK0DH,JO31QL
DJ9JY,JO31JM
DG1FDX,JN49LP
DG0CCD,JO52TC
DL5NAV,JO33TF
DL4KCA,JO31JX
DG6NDK,JN59GN
DO9BC,JN48QP
DK1HW,JO42TG
DC4MP,JO31MI
ON4CIN,JO11UB
LA2CFA,JO48JL
DH2SAV,JN48QU
PE1ONM,JO32KR
M5AEH,IO93BS
